Organization,Name,Street Address,City,State,Postal Code,lat,lon,Organization,Name,Street Address,lat,lon,distance (km)
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,837.6894984583729
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,3690.5744028365502
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,1567.040676759423
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,1506.3748039744664
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,1018.7931017266967
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Beloit Fresh Start,20 Eclipse Center	Beloit	WI	53511,42.52033,-89.03186,1097.4355480530069
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Benton Harbor YouthBuild,315 East Main Street	Benton Harbor	MI	49022,42.11733,-86.45102,881.0048679677678
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Bethel YouthBuild,1250 Portland Avenue	Chicago Heights	IL	60411,41.50823,-87.62403,959.0873981807399
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Bibb County School District,2011 Riverside Dr.	Macon	GA	31204,32.856935,-83.643415,957.4693415562219
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,BI-CAP YouthBuild,3023 Mill St NE	Bemidji	MN	56601,47.46806,-94.83356,1718.145112724526
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Build With Pride,4283 El Cajon Boulevard	San Diego	CA	92105,32.754885,-117.102191,3679.7285416908403
Strive Together,Baltimore's Promise,,Baltimore,MD,,39.3558582,-76.6455333,YBUSA,Building Futures YouthBuild,5800 Godfrey Road	Godfrey	IL	62035,38.95288,-90.19333,1168.301152147218
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,American YouthWorks,1901 E. Ben White Bv	Austin	TX	78741,30.21537,-97.747365,2580.6228779591547
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,AMIkids Baton Rouge,5555 Beechwood Drive	Baton Rouge	LA	70805,30.50109,-91.14448,3038.1288415749577
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,AMIkids Beaufort Inc.,60 Honeybee Island Road	Seabrook	SC	29940,32.56899,-80.68511,3716.3464782974643
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Antelope Valley YouthBuild,38626 9th Street East	Palmdale	CA	93550,34.58539,-118.11403,1106.4367893591705
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Arrowhead YouthBuild,702 Third Avenue	Virginia	MN	55792,47.51762,-92.53375,2233.9993650637343
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Asian Media Access,2418 Plymouth Ave N	Minneapolis	MN	55411,44.99179,-93.31169,2196.454087996146
Strive Together,Better Together Central Oregon,,Redmond,OR,,44.2499692,-121.1732335,YBUSA,Aurora YouthBuild,1685 N Farnsworth Ave.	Aurora	IL	60505,41.791075,-88.281367,2670.7336187346414
